  bin      Q2_l      Q2_h      Q2_c     x_l        x_h        x_c             xsec_c        xsec_ave    BCC_area       RC_sf     rxsec_c      area
   54      446.70    562.30    500.00   0.0251200  0.0398100  0.0200000       29.350199     28.976004   1.01291        0.024471  0.71823      1.6982
   55      446.70    562.30    500.00   0.0398100  0.0631000  0.0320000       16.763475     16.766346   0.99983        0.035784  0.59986      2.6923
   56      446.70    562.30    500.00   0.0631000  0.1000000  0.0500000        9.601185      9.443107   1.01674        0.052927  0.50816      4.2656
   57      446.70    562.30    500.00   0.1000000  0.1450100  0.0800000        5.270688      5.247809   1.00436        0.081624  0.43022      5.2032
   58      446.70    562.30    500.00   0.1450100  0.2089300  0.1300000        2.785922      3.054219   0.91216        0.129541  0.36089      7.3892
   59      446.70    562.30    500.00   0.2089300  0.3162300  0.1800000        1.754818      1.822255   0.96299        0.177489  0.31146     12.4039
   60      446.70    562.30    500.00   0.3162300  0.5011900  0.2500000        1.020639      0.952981   1.07100        0.244632  0.24968     21.3814
   61      446.70    562.30    500.00   0.5011900  1.0000000  0.4000000        0.343350      0.343429   0.99977        0.388532  0.13340     57.6624
   62      562.30    707.90    500.00   0.0015800  0.0025100  0.6500000        0.035706      0.029779   1.19902        0.628384  0.02244      0.1354
   66      562.30    707.90    650.00   0.0100000  0.0158500  0.0080000       39.301689     42.362247   0.92775        0.024945  0.98039      0.8518
   67      562.30    707.90    650.00   0.0158500  0.0251200  0.0130000       25.438494     27.863672   0.91296        0.033518  0.85265      1.3497
   68      562.30    707.90    650.00   0.0251200  0.0398100  0.0200000       16.386513     17.384169   0.94261        0.044350  0.72675      2.1389
   69      562.30    707.90    650.00   0.0398100  0.0631000  0.0320000        9.573621     10.254786   0.93358        0.063276  0.60578      3.3910
   70      562.30    707.90    650.00   0.0631000  0.1000000  0.0500000        5.551255      5.840256   0.95052        0.092108  0.51132      5.3726
   71      562.30    707.90    650.00   0.1000000  0.1450100  0.0800000        3.067097      3.263453   0.93983        0.140508  0.43095      6.5535
   72      562.30    707.90    650.00   0.1450100  0.2089300  0.1300000        1.624364      1.902608   0.85376        0.221423  0.35967      9.3068
   73      562.30    707.90    650.00   0.2089300  0.3162300  0.1800000        1.022286      1.134468   0.90112        0.302426  0.30917     15.6229
   74      562.30    707.90    650.00   0.3162300  0.5011900  0.2500000        0.592961      0.591618   1.00227        0.415877  0.24660     26.9302
   75      562.30    707.90    650.00   0.5011900  1.0000000  0.4000000        0.197936      0.211921   0.93401        0.659048  0.13045     72.6268
   76      707.90    891.30    650.00   0.0015800  0.0025100  0.6500000        0.020262      0.018180   1.11448        1.064384  0.02157      0.1706
